nombre,url,formato,logo,estado,categoria
Gourmet,https://thundernet.streampool.net/10323/live/hls/gourmet/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/9c/d6/f00a-f4a3-4f89-a672-e8e9ac25e89d.png,1,Estilo de Vida
Cocina Familiar,https://stream-us-east-1.getpublica.com/playlist.m3u8?cb=[CACHEBUSTER]&network_id=12033&live=1&avod=1&hls_marker=1&pod_duration=[POD_DURATION]&min_ad_duration=6&max_ad_duration=120&site_page=[SITE_PAGE]&site_name=,m3u8,,1,Estilo de Vida
CineMax,https://thundernet.streampool.net/10323/live/hls/cinemax/playlist.m3u8,m3u8,,1,Películas
Sony Movie,https://thundernet.streampool.net/10323/live/hls/sonymovies/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/89/60/aa0e-8a7e-4dff-8300-ea0cbe1c30f1.png,1,Películas
Sony,https://thundernet.streampool.net/10323/live/hls/sonyhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/ef/6f/ef8e-fd65-4b29-a1cb-2890a559876f.png,1,Otros
AXN,https://thundernet.streampool.net/10323/live/hls/axn/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/75/fe/4adc-22f3-4a49-a916-096a3891e1e0.png,1,Otros
Multipremier,https://thundernet.streampool.net/10323/live/hls/multipremier/playlist.m3u8,m3u8,,1,Películas
CineCanal,https://thundernet.streampool.net/10323/live/hls/cinecanal/playlist.m3u8,m3u8,,1,Películas
Multicinema,https://thundernet.streampool.net/10323/live/hls/multicinema/playlist.m3u8,m3u8,,1,Películas
Paramount,https://thundernet.streampool.net/10323/live/hls/paramount/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/a7/81/17c6-9f07-433b-91b4-59967601040e.png,1,Películas
TNT,https://thundernet.streampool.net/10323/live/hls/tnt/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/fb/b0/a46b-3602-4189-ba92-4d31c030a0be.png,1,Otros
Warner Channel,https://thundernet.streampool.net/10323/live/hls/warnerchannel/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/ca/9b/17f3-217b-4d67-9cdb-f3b6480b76e5.png,1,Películas
Golden channel,https://thundernet.streampool.net/10323/live/hls/goldenchannel/playlist.m3u8,m3u8,,1,Películas
Studio Universal,https://thundernet.streampool.net/10323/live/hls/studiouniversal/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/5f/c8/5774-614f-4d5e-a3db-35783ef45b80.png,1,Películas
AMC,https://thundernet.streampool.net/10323/live/hls/amc/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/52/b9/c375-af39-4452-931f-fb0af143fff6.png,1,Otros
Star Channel,https://thundernet.streampool.net/10323/live/hls/starchannel/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/85/2a/8efe-7845-42ce-91bf-eec7af6a9b30.png,1,Otros
Space,https://thundernet.streampool.net/10323/live/hls/space/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/d6/1e/2069-e288-4c9b-ba08-83a228c14640.png,1,Películas
Golden Plus,https://thundernet.streampool.net/10323/live/hls/goldenplushd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/bd/e0/763f-387a-4d28-a092-72eda75a4dcc.png,1,Películas
Europa,https://thundernet.streampool.net/10323/live/hls/europa/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/70/b8/eb9c-fa05-4017-a31e-64debe1ce384.png,1,Otros
Clover Channel,https://thundernet.streampool.net/10323/live/hls/cloverchannel/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/cc/78/1a22-b46e-4f11-955d-6ea32208d12f.png,1,Otros
Golden Premiere 2,https://thundernet.streampool.net/10323/live/hls/goldenpremier2/playlist.m3u8,m3u8,,1,Películas
Universal Channel,https://thundernet.streampool.net/10323/live/hls/universalchannel/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/45/31/7150-804c-406a-81e8-528ed75b85c9.png,1,Películas
Golden Edge,https://thundernet.streampool.net/10323/live/hls/goldenedgehd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/4b/05/8160-aa1f-426b-b549-82919093e989.png,1,Películas
Cine Premium,https://thundernet.streampool.net/10323/live/hls/cinepremiumhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/23/03/aab5-013b-49e8-8f84-f7757797c6de.png,1,Películas
Cine Familiar,https://thundernet.streampool.net/10323/live/hls/cinefamiliarhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/3e/1b/d2a0-7d2c-4c94-ae94-d7b78f2113f5.png,1,Películas
Cine Hispano,https://thundernet.streampool.net/10323/live/hls/cinehispanohd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/e0/b5/8bd9-b2f6-4fb2-968f-91abd92dff0d.png,1,Películas
A3 Series,https://thundernet.streampool.net/10323/live/hls/atresseries/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/34/72/37ac-5513-40cf-8185-f50a6700bdb4.png,1,Series y Novelas
USA,https://thundernet.streampool.net/10323/live/hls/usa/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/4b/1a/e10f-9e4e-4f28-a927-e9cbcc4351a0.png,1,Entretenimiento
TNT Series,https://thundernet.streampool.net/10323/live/hls/tntseries/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/1d/30/8644-6133-4435-957c-2d06b522c52f.png,1,Series y Novelas
FX,https://thundernet.streampool.net/10323/live/hls/fx/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/89/1c/04eb-10da-4b8a-b9e1-3bd3e354d5d7.png,1,Otros
DHE,https://thundernet.streampool.net/10323/live/hls/dhe/playlist.m3u8,m3u8,,1,Otros
Comdey Central,https://thundernet.streampool.net/10323/live/hls/comedycentral/playlist.m3u8,m3u8,,1,Otros
Distrito Comedia,https://thundernet.streampool.net/10323/live/hls/distritocomedia/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/93/6f/3749-1122-4a0b-a6fd-f61d352a5a88.png,1,Otros
A3 Cine,https://thundernet.streampool.net/10323/live/hls/atrescine/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/11/09/c192-4f01-481a-804f-c503d01a1c16.png,1,Películas
De Pelicula,https://thundernet.streampool.net/10323/live/hls/depeliculahd/playlist.m3u8,m3u8,,1,Películas
Azteca Cinema,https://thundernet.streampool.net/10323/live/hls/aztecacinema/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/57/4f/a8b3-766f-4c85-858e-ec35adb84a85.png,1,Películas
Movie Fe Tv,https://thundernet.streampool.net/10323/live/hls/moviefe/playlist.m3u8,m3u8,,1,Películas
Investigation Discovery,https://thundernet.streampool.net/10323/live/hls/investigationdiscoveryhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/4e/2f/3676-cb4f-4c28-bb61-20d2c9d873d3.png,1,Documentales
Discovery Channel,https://thundernet.streampool.net/10323/live/hls/discoveryhd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/18/e8/c2b2-c6b3-4183-a407-2881e3e9c669.png,1,Documentales
Animal Planet,https://thundernet.streampool.net/10323/live/hls/animalplanethd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/23/15/0b9d-24dc-494b-80a3-fb73a8c435d6.png,1,Documentales
Discovery Science,https://thundernet.streampool.net/10323/live/hls/discoverysciencehd/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/2c/5f/f02e-115b-4a18-b7ca-ccd0d441d068.png,1,Documentales
National Geographic,https://thundernet.streampool.net/10323/live/hls/nationalgeographic/playlist.m3u8,m3u8,https://pmultimedia.norago.tv/img/upload/cc/27/aabc-d202-4722-b3ac-43f6c04bbd42.png,1,Otros
